CuspID,Origin_time,Record,Mw,MwUncert,TectClass,Mech,PreferredFaultPlane,Strike,Dip,Rake,Location,HypLat,HypLon,StationLat,StationLon,HypN,HypE,StationN,StationE,LENGTH_km,WIDTH_km,Repi_km,Rhyp_km,Rjb_km,Rrup_km,Rx_km,Ry_km,Rvol_km,HypDepth_km,ZTOR_km,HWFW,SiteCode,SiteClass1170,Vs30,Vs30Uncert,Tsite,TsiteUncert,Z1,Z1Uncertainty,Directivity,Pulse_or,Pulse_T,S_Trigger_Flag,fcButterHP,f_iniLP,fmin,fmax,References,TotalDuration,D5_75_H1_sec,D5_75_H2_sec,D5_75_GM_sec,D5_95_H1_sec,D5_95_H2_sec,D5_95_GM_sec,D20_80_H1_sec,D20_80_H2_sec,D20_80_GM_sec
16899,1988-06-03T23:27:54.351999Z,A88118B1,6.69,0.08,Slab,R,1,310,86,118,special,-45.1,167.17,-45.0387,169.2193,5551299.74,2051472.44,5567539,2212164,25,55,161.07,172.37,152.52,161.6,117.65,-112.66,0,60,32.57,nu,118B,C,520,Q3,0.3,Q3,40,Q3,0,-99999,-99999,1,0.63,11,1.071,11,Robinson_etal_2003&Dowrick_Rhoades1998&HarvardCMT&Reyners_etal1991,52.73,4.6,3.02,3.73,15.47,10.18,12.55,2.94,2.59,2.76
53209,1989-05-31T05:54:48.402999Z,A89940A1,6.39,0.08,Interface,O,1,139,67,47,special,-45.27,166.88,-45.0322,168.6629,5530793.17,2030120.65,5566104,2168345,19.54,19.54,142.29,144.72,138.11,139.83,-124.55,64.03,0,24,17.1,nu,QTPS,D,350,Q3,0.95,Q1,90,Q3,0,-99999,-99999,1,0.55,10,0.935,10,Robinson_etal_2003&Dowrick_Rhoades1998&HarvardCMT,53.16,17.14,16.06,16.59,29.93,31.29,30.6,13.47,12.62,13.04
62461,1989-08-08T07:59:06.546000Z,D89918B1,5.49,0.08,Slab,R,1,208,40,68,special,-40.12,174.3,-41.284,174.7682,6119840.44,2620805.44,5989908,2658140,5.1,5.1,135.31,175.65,133.03,173.12,-92.01,97.2,0,112,110.36,nu,WEL,B,1000,Q3,0.3,Q1,0,Q2,0,-99999,-99999,0,0.4,18,0.68,18,Webb_Anderson_1998&Dowrick_Rhoades1998&HarvardCMT,52.49,4.24,3.35,3.77,10.56,9.39,9.96,3.93,3.19,3.54
62461,1989-08-08T07:59:06.546000Z,D89935B1,5.49,0.08,Slab,R,1,208,40,68,special,-40.12,174.3,-41.2108,174.9047,6119840.44,2620805.44,5997808,2669699,5.1,5.1,131.58,172.71,129.35,170.17,-98.5,84.79,0,112,110.36,nu,935A,D,240,Q3,1.2,Q3,275,Q3,0,-99999,-99999,1,0.25,18,0.425,18,Webb_Anderson_1998&Dowrick_Rhoades1998&HarvardCMT,38.59,3.18,4.05,3.59,8.87,10.18,9.5,3.36,3.95,3.64
62461,1989-08-08T07:59:06.546000Z,K89087A2,5.49,0.08,Slab,R,1,208,40,68,special,-40.12,174.3,-39.7163,175.1455,6119840.44,2620805.44,6163232,2693941,5.1,5.1,84.94,140.65,82.53,138.32,-42.25,-72.65,0,112,110.36,nu,087A,B,1000,Q3,<0.1,Q3,0,Q2,0,-99999,-99999,1,0.64,25,1.088,25,Webb_Anderson_1998&Dowrick_Rhoades1998&HarvardCMT,53.09,3.42,4.65,3.99,17.56,18.12,17.84,3.75,5.5,4.54
100789,1990-02-19T05:34:36.673000Z,A90032A1,6.24,0.08,Slab,N,1,209,72,-1.12E+02,special,-40.38,176.22,-39.9425,176.5874,6086791.59,2783346.23,6134136,2816486,13,13,57.81,62.25,51.34,55.75,-4.02,-57.47,0,23,16.82,nu,032A,C,495,Q3,0.13,Q3,10,Q3,0,-99999,-99999,1,0.5,11,0.85,11,Robinson_1994&Dowrick_Rhoades1998&HarvardCMT,44.07,3.38,3.05,3.21,9.69,8.75,9.21,3.23,2.66,2.93
100789,1990-02-19T05:34:36.673000Z,A90033A1,6.24,0.08,Slab,N,1,209,72,-1.12E+02,special,-40.38,176.22,-40.2088,176.0985,6086791.59,2783346.23,6106160,2773698,13,13,21.65,31.73,18.06,27.95,19.84,-12.26,0,23,16.82,nu,033A,C,367,Q3,0.33,Q3,30,Q3,0,-99999,-99999,1,0.38,19,0.646,19,Robinson_1994&Dowrick_Rhoades1998&HarvardCMT,54.69,4.34,3.2,3.73,14.39,8.89,11.31,4.18,3.03,3.56
100789,1990-02-19T05:34:36.673000Z,A90102A1,6.24,0.08,Slab,N,1,209,72,-1.12E+02,special,-40.38,176.22,-39.4637,175.5669,6086791.59,2783346.23,6190285,2730871,13,13,116.11,118.43,112.17,114.97,98.08,-65.08,0,23,16.82,nu,102A,C,555,Q3,0.15,Q3,12,Q3,0,-99999,-99999,1,0.4,15,0.68,15,Robinson_1994&Dowrick_Rhoades1998&HarvardCMT,52.12,15.3,18.25,16.71,27.33,30.5,28.87,8.22,10.59,9.33
100789,1990-02-19T05:34:36.673000Z,A90120A1,6.24,0.08,Slab,N,1,209,72,-1.12E+02,special,-40.38,176.22,-40.335,175.8682,6086791.59,2783346.23,6092817,2753648,13,13,30.23,38.1,27.71,35.87,30.9,9.13,0,23,16.82,nu,120A,D,290,Q3,1.1,Q3,100,Q3,0,-99999,-99999,1,0.3,16,0.51,16,Robinson_1994&Dowrick_Rhoades1998&HarvardCMT,51.25,2.89,3.06,2.97,12.94,12.35,12.64,2.72,2.2,2.45
100789,1990-02-19T05:34:36.673000Z,A90301A1,6.24,0.08,Slab,N,1,209,72,-1.12E+02,special,-40.38,176.22,-40.3553,175.6152,6086791.59,2783346.23,6091232,2732094,13,13,51.31,56.37,48.28,54.13,48.99,20.96,0,23,16.82,nu,301A,D,341,Q3,0.7,Q2,60,Q3,0,-99999,-99999,1,0.15,12,0.255,12,Robinson_1994&Dowrick_Rhoades1998&HarvardCMT,41.09,6.3,7.25,6.76,17.18,14.88,15.99,6.06,8.44,7.15
