CuspID,Origin_time,Record,Mw,MwUncert,TectClass,Mech,PreferredFaultPlane,Strike,Dip,Rake,Location,HypLat,HypLon,StationLat,StationLon,HypN,HypE,StationN,StationE,LENGTH_km,WIDTH_km,Repi_km,Rhyp_km,Rjb_km,Rrup_km,Rx_km,Ry_km,Rvol_km,HypDepth_km,ZTOR_km,HWFW,SiteCode,SiteClass1170,Vs30,Vs30Uncert,Tsite,TsiteUncert,Z1,Z1Uncertainty,Directivity,Pulse_or,Pulse_T,S_Trigger_Flag,fcButterHP,f_iniLP,fmin,fmax,References,f100.0000SA_GeoMean,f50.0000SA_GeoMean,f33.3333SA_GeoMean,f25.0000SA_GeoMean,f20.0000SA_GeoMean,f13.3333SA_GeoMean,f10.0000SA_GeoMean,f6.6667SA_GeoMean,f5.0000SA_GeoMean,f4.0000SA_GeoMean,f3.3333SA_GeoMean,f2.5000SA_GeoMean,f2.0000SA_GeoMean,f1.3333SA_GeoMean,f1.0000SA_GeoMean,f0.6667SA_GeoMean,f0.5000SA_GeoMean,f0.3333SA_GeoMean,f0.2500SA_GeoMean,f0.2000SA_GeoMean,f0.1333SA_GeoMean,f0.1000SA_GeoMean,PGA_Geomean,PGV_Geomean
16899,1988-06-03T23:27:54.351999Z,A88089A1,6.69,0.08,Slab,R,1,310,86,118,special,-45.1,167.17,-44.6946,169.143,5551299.74,2051472.44,5605452,2204373,25,55,161.81,173.05,155.62,164.27,141.68,-82.32,0,60,32.57,nu,WNPS,D,330,Q3,2.1,Q3,300,Q3,0,-99999,-99999,1,0.21,18,0.357,18,Robinson_etal_2003&Dowrick_Rhoades1998&HarvardCMT&Reyners_etal1991,0.036694078,0.036899985,0.037273323,0.037868274,0.039001111,0.042743828,0.050556454,0.076922762,0.101401602,0.107957358,0.083531951,0.076958054,0.071715591,0.078045961,0.081989081,0.05256697,0.033189086,-99999,-99999,-99999,-99999,-99999,0.036686,0.04584
16899,1988-06-03T23:27:54.351999Z,A88118B1,6.69,0.08,Slab,R,1,310,86,118,special,-45.1,167.17,-45.0387,169.2193,5551299.74,2051472.44,5567539,2212164,25,55,161.07,172.37,152.52,161.6,117.65,-112.66,0,60,32.57,nu,118B,C,520,Q3,0.3,Q3,40,Q3,0,-99999,-99999,1,0.63,11,1.071,11,Robinson_etal_2003&Dowrick_Rhoades1998&HarvardCMT&Reyners_etal1991,0.051095481,0.051407923,0.051891788,0.052593308,0.053544089,0.057367267,0.067255534,0.090024989,0.126007454,0.21338781,0.152494463,0.180344626,0.112241207,0.03640907,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.051068,0.03023
53209,1989-05-31T05:54:48.402999Z,A89940A1,6.39,0.08,Interface,O,1,139,67,47,special,-45.27,166.88,-45.0322,168.6629,5530793.17,2030120.65,5566104,2168345,19.54,19.54,142.29,144.72,138.11,139.83,-124.55,64.03,0,24,17.1,nu,QTPS,D,350,Q3,0.95,Q1,90,Q3,0,-99999,-99999,1,0.55,10,0.935,10,Robinson_etal_2003&Dowrick_Rhoades1998&HarvardCMT,0.028082593,0.028213777,0.028417476,0.028736938,0.02914709,0.030825779,0.035199272,0.054304671,0.082905494,0.11052514,0.065559125,0.056548784,0.038574552,0.030748943,0.023508462,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.027943,0.013714
62461,1989-08-08T07:59:06.546000Z,D89918B1,5.49,0.08,Slab,R,1,208,40,68,special,-40.12,174.3,-41.284,174.7682,6119840.44,2620805.44,5989908,2658140,5.1,5.1,135.31,175.65,133.03,173.12,-92.01,97.2,0,112,110.36,nu,WEL,B,1000,Q3,0.3,Q1,0,Q2,0,-99999,-99999,0,0.4,18,0.68,18,Webb_Anderson_1998&Dowrick_Rhoades1998&HarvardCMT,0.02477849,0.025083023,0.025597245,0.026470214,0.027940579,0.035170419,0.043624169,0.086187587,0.058050654,0.052921814,0.029233101,0.035891853,0.027521619,0.005951416,0.00530816,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.024528,0.008495
62461,1989-08-08T07:59:06.546000Z,D89935B1,5.49,0.08,Slab,R,1,208,40,68,special,-40.12,174.3,-41.2108,174.9047,6119840.44,2620805.44,5997808,2669699,5.1,5.1,131.58,172.71,129.35,170.17,-98.5,84.79,0,112,110.36,nu,935A,D,240,Q3,1.2,Q3,275,Q3,0,-99999,-99999,1,0.25,18,0.425,18,Webb_Anderson_1998&Dowrick_Rhoades1998&HarvardCMT,0.035943784,0.036176708,0.036612895,0.037266989,0.038268811,0.060116834,0.051767701,0.073057276,0.093199521,0.125428843,0.070367873,0.103725609,0.045111761,0.015844118,0.017799508,0.00657829,0.003119306,-99999,-99999,-99999,-99999,-99999,0.035938,0.016598
62461,1989-08-08T07:59:06.546000Z,K89087A2,5.49,0.08,Slab,R,1,208,40,68,special,-40.12,174.3,-39.7163,175.1455,6119840.44,2620805.44,6163232,2693941,5.1,5.1,84.94,140.65,82.53,138.32,-42.25,-72.65,0,112,110.36,nu,087A,B,1000,Q3,<0.1,Q3,0,Q2,0,-99999,-99999,1,0.64,25,1.088,25,Webb_Anderson_1998&Dowrick_Rhoades1998&HarvardCMT,0.098163702,0.100124437,0.103674776,0.112987753,0.124686205,0.174379675,0.236296986,0.231816962,0.272197225,0.188598064,0.11516014,0.099300769,0.048913479,0.032559949,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.095822,0.028167
100789,1990-02-19T05:34:36.673000Z,A90032A1,6.24,0.08,Slab,N,1,209,72,-1.12E+02,special,-40.38,176.22,-39.9425,176.5874,6086791.59,2783346.23,6134136,2816486,13,13,57.81,62.25,51.34,55.75,-4.02,-57.47,0,23,16.82,nu,032A,C,495,Q3,0.13,Q3,10,Q3,0,-99999,-99999,1,0.5,11,0.85,11,Robinson_1994&Dowrick_Rhoades1998&HarvardCMT,0.172472239,0.173094597,0.174099154,0.175489638,0.177357128,0.183805299,0.204982297,0.347312352,0.511910963,0.464797835,0.387868339,0.327830877,0.240763896,0.183028869,0.095268317,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.172275,0.106307
100789,1990-02-19T05:34:36.673000Z,A90033A1,6.24,0.08,Slab,N,1,209,72,-1.12E+02,special,-40.38,176.22,-40.2088,176.0985,6086791.59,2783346.23,6106160,2773698,13,13,21.65,31.73,18.06,27.95,19.84,-12.26,0,23,16.82,nu,033A,C,367,Q3,0.33,Q3,30,Q3,0,-99999,-99999,1,0.38,19,0.646,19,Robinson_1994&Dowrick_Rhoades1998&HarvardCMT,0.216406316,0.218650869,0.222475387,0.22856809,0.239700673,0.310418354,0.357972552,0.476245548,0.480176973,0.645399318,0.580938644,0.6610687,0.390786815,0.243013876,0.101458834,0.096317503,-99999,-99999,-99999,-99999,-99999,-99999,0.216035,0.12836
100789,1990-02-19T05:34:36.673000Z,A90102A1,6.24,0.08,Slab,N,1,209,72,-1.12E+02,special,-40.38,176.22,-39.4637,175.5669,6086791.59,2783346.23,6190285,2730871,13,13,116.11,118.43,112.17,114.97,98.08,-65.08,0,23,16.82,nu,102A,C,555,Q3,0.15,Q3,12,Q3,0,-99999,-99999,1,0.4,15,0.68,15,Robinson_1994&Dowrick_Rhoades1998&HarvardCMT,0.036444379,0.036611857,0.036905671,0.037365019,0.038037502,0.039666392,0.045917513,0.077220144,0.061598943,0.084544094,0.094062158,0.064463059,0.089473247,0.06247045,0.071901886,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.036423,0.029831
100789,1990-02-19T05:34:36.673000Z,A90120A1,6.24,0.08,Slab,N,1,209,72,-1.12E+02,special,-40.38,176.22,-40.335,175.8682,6086791.59,2783346.23,6092817,2753648,13,13,30.23,38.1,27.71,35.87,30.9,9.13,0,23,16.82,nu,120A,D,290,Q3,1.1,Q3,100,Q3,0,-99999,-99999,1,0.3,16,0.51,16,Robinson_1994&Dowrick_Rhoades1998&HarvardCMT,0.180138066,0.180671449,0.181535282,0.182786804,0.184504691,0.184955653,0.22092655,0.289907157,0.427150599,0.470623247,0.4826383,0.339923948,0.521063151,0.1396308,0.160399569,0.062206379,-99999,-99999,-99999,-99999,-99999,-99999,0.180152,0.146946
100789,1990-02-19T05:34:36.673000Z,A90301A1,6.24,0.08,Slab,N,1,209,72,-1.12E+02,special,-40.38,176.22,-40.3553,175.6152,6086791.59,2783346.23,6091232,2732094,13,13,51.31,56.37,48.28,54.13,48.99,20.96,0,23,16.82,nu,301A,D,341,Q3,0.7,Q2,60,Q3,0,-99999,-99999,1,0.15,12,0.255,12,Robinson_1994&Dowrick_Rhoades1998&HarvardCMT,0.045144946,0.045243718,0.045409502,0.045662215,0.046011566,0.047702256,0.055368502,0.069249841,0.083655807,0.075309743,0.106704551,0.105996347,0.073556272,0.091036649,0.083797893,0.029554071,0.024093223,0.010223255,-99999,-99999,-99999,-99999,0.045148,0.051563
100789,1990-02-19T05:34:36.673000Z,A90340A2,6.24,0.08,Slab,N,1,209,72,-1.12E+02,special,-40.38,176.22,-40.3863,175.6165,6086791.59,2783346.23,6087788,2732102,13,13,51.12,56.19,47.8,53.59,47.31,23.97,0,23,16.82,nu,340A,D,283,Q3,0.96,Q3,90,Q3,0,-99999,-99999,1,0.33,18,0.561,18,Robinson_1994&Dowrick_Rhoades1998&HarvardCMT,0.051228669,0.051680544,0.052514237,0.053920709,0.056645488,0.067005704,0.085310483,0.107128345,0.158559017,0.127367596,0.154567173,0.117701021,0.072900851,0.051336958,0.057783598,0.030149238,-99999,-99999,-99999,-99999,-99999,-99999,0.050993,0.037503
100789,1990-02-19T05:34:36.673000Z,D90029A2,6.24,0.08,Slab,N,1,209,72,-1.12E+02,special,-40.38,176.22,-39.6458,176.8429,6086791.59,2783346.23,6166127,2839726,13,13,97.36,100.01,90.89,93.52,-8.84,-96.72,0,23,16.82,nu,HCDS,D,182,Q2,>2,Q3,1000,Q3,0,-99999,-99999,0,0.17,11,0.289,11,Robinson_1994&Dowrick_Rhoades1998&HarvardCMT,0.040663865,0.04076399,0.040905951,0.041110408,0.041385091,0.042445716,0.045448037,0.057591794,0.0779858,0.077440753,0.100640093,0.116134583,0.091455129,0.093818066,0.071287363,0.038676017,0.021068409,0.009933901,-99999,-99999,-99999,-99999,0.040597,0.04647
100789,1990-02-19T05:34:36.673000Z,D90039E2,6.24,0.08,Slab,N,1,209,72,-1.12E+02,special,-40.38,176.22,-40.9483,175.6597,6086791.59,2783346.23,6025298,2733883,13,13,78.91,82.2,72.5,75.91,15.46,77.76,0,23,16.82,nu,039E,D,314,Q3,1,Q3,100,Q3,0,-99999,-99999,0,0.15,16.5,0.255,16.5,Robinson_1994&Dowrick_Rhoades1998&HarvardCMT,0.016135533,0.016291224,0.016565866,0.01698919,0.017572648,0.019135851,0.028909836,0.042317265,0.064996285,0.050150618,0.03466858,0.041843877,0.027338974,0.024196253,0.017318071,0.014411266,0.00994912,0.004626286,-99999,-99999,-99999,-99999,0.016105,0.011221
125056,1990-05-13T04:23:09.012999Z,A90032A2,6.39,0.08,Crustal,O,1,220,28,149,special,-40.35,176.23,-39.9425,176.5874,6090089.72,2784316.52,6134136,2816486,14.4,14.4,54.56,55.67,48.31,49.57,9.19,-54.42,0,11,8.07,nu,032A,C,495,Q3,0.13,Q3,10,Q3,0,-99999,-99999,0,0.25,12,0.425,12,Robinson_1994&Dowrick_Rhoades1998&HarvardCMT,0.217610099,0.218240494,0.219243764,0.220667193,0.222515436,0.228710118,0.232079004,0.373947967,0.415316012,0.539696641,0.521997782,0.513582443,0.578573707,0.228593547,0.091557548,0.04495614,0.029737455,-99999,-99999,-99999,-99999,-99999,0.217032,0.144267
