CuspID,Origin_time,Record,Mw,MwUncert,TectClass,Mech,PreferredFaultPlane,Strike,Dip,Rake,Location,HypLat,HypLon,StationLat,StationLon,HypN,HypE,StationN,StationE,LENGTH_km,WIDTH_km,Repi_km,Rhyp_km,Rjb_km,Rrup_km,Rx_km,Ry_km,Rvol_km,HypDepth_km,ZTOR_km,HWFW,SiteCode,SiteClass1170,Vs30,Vs30Uncert,Tsite,TsiteUncert,Z1,Z1Uncertainty,Directivity,Pulse_or,Pulse_T,S_Trigger_Flag,fcButterHP,f_iniLP,fmin,fmax,References,f100.0000SA_LHC,f50.0000SA_LHC,f33.3333SA_LHC,f25.0000SA_LHC,f20.0000SA_LHC,f13.3333SA_LHC,f10.0000SA_LHC,f6.6667SA_LHC,f5.0000SA_LHC,f4.0000SA_LHC,f3.3333SA_LHC,f2.5000SA_LHC,f2.0000SA_LHC,f1.3333SA_LHC,f1.0000SA_LHC,f0.6667SA_LHC,f0.5000SA_LHC,f0.3333SA_LHC,f0.2500SA_LHC,f0.2000SA_LHC,f0.1333SA_LHC,f0.1000SA_LHC,PGA_LHC,PGV_LHC
16899,1988-06-03T23:27:54.351999Z,A88089A1,6.69,0.08,Slab,R,1,310,86,118,special,-45.1,167.17,-44.6946,169.143,5551299.74,2051472.44,5605452,2204373,25,55,161.81,173.05,155.62,164.27,141.68,-82.32,0,60,32.57,nu,WNPS,D,330,Q3,2.1,Q3,300,Q3,0,-99999,-99999,1,0.21,18,0.357,18,Robinson_etal_2003&Dowrick_Rhoades1998&HarvardCMT&Reyners_etal1991,0.040290451,0.040520119,0.040939307,0.041641589,0.043071923,0.048778769,0.056025796,0.086864248,0.120667563,0.116611813,0.08964238,0.080915945,0.082079275,0.082076351,0.08364632,0.056686371,0.039752692,-99999,-99999,-99999,-99999,-99999,0.040265,0.04767
16899,1988-06-03T23:27:54.351999Z,A88118B1,6.69,0.08,Slab,R,1,310,86,118,special,-45.1,167.17,-45.0387,169.2193,5551299.74,2051472.44,5567539,2212164,25,55,161.07,172.37,152.52,161.6,117.65,-112.66,0,60,32.57,nu,118B,C,520,Q3,0.3,Q3,40,Q3,0,-99999,-99999,1,0.63,11,1.071,11,Robinson_etal_2003&Dowrick_Rhoades1998&HarvardCMT&Reyners_etal1991,0.063242818,0.063559226,0.064054764,0.064764698,0.065709601,0.069658985,0.080686364,0.102970536,0.134645945,0.233966474,0.167662838,0.264680511,0.126129091,0.041805955,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.063231,0.0322
53209,1989-05-31T05:54:48.402999Z,A89940A1,6.39,0.08,Interface,O,1,139,67,47,special,-45.27,166.88,-45.0322,168.6629,5530793.17,2030120.65,5566104,2168345,19.54,19.54,142.29,144.72,138.11,139.83,-124.55,64.03,0,24,17.1,nu,QTPS,D,350,Q3,0.95,Q1,90,Q3,0,-99999,-99999,1,0.55,10,0.935,10,Robinson_etal_2003&Dowrick_Rhoades1998&HarvardCMT,0.034386219,0.034586035,0.034896769,0.035351018,0.035957656,0.038403106,0.041473834,0.062312951,0.130521104,0.113880837,0.068958763,0.065052837,0.040307814,0.032470709,0.029099989,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.034179,0.01387
62461,1989-08-08T07:59:06.546000Z,D89918B1,5.49,0.08,Slab,R,1,208,40,68,special,-40.12,174.3,-41.284,174.7682,6119840.44,2620805.44,5989908,2658140,5.1,5.1,135.31,175.65,133.03,173.12,-92.01,97.2,0,112,110.36,nu,WEL,B,1000,Q3,0.3,Q1,0,Q2,0,-99999,-99999,0,0.4,18,0.68,18,Webb_Anderson_1998&Dowrick_Rhoades1998&HarvardCMT,0.02595094,0.026183314,0.026566606,0.02731454,0.028682309,0.036252862,0.052056139,0.109686465,0.070414225,0.056375403,0.032330591,0.037809825,0.035718081,0.005958614,0.005520343,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.025953,0.009955
62461,1989-08-08T07:59:06.546000Z,D89935B1,5.49,0.08,Slab,R,1,208,40,68,special,-40.12,174.3,-41.2108,174.9047,6119840.44,2620805.44,5997808,2669699,5.1,5.1,131.58,172.71,129.35,170.17,-98.5,84.79,0,112,110.36,nu,935A,D,240,Q3,1.2,Q3,275,Q3,0,-99999,-99999,1,0.25,18,0.425,18,Webb_Anderson_1998&Dowrick_Rhoades1998&HarvardCMT,0.039590785,0.039839988,0.040318617,0.04105729,0.042433702,0.067656843,0.052366325,0.0918589,0.121148895,0.138237993,0.090970929,0.107779808,0.056023733,0.020646777,0.019998305,0.00714558,0.003231707,-99999,-99999,-99999,-99999,-99999,0.039582,0.01757
62461,1989-08-08T07:59:06.546000Z,K89087A2,5.49,0.08,Slab,R,1,208,40,68,special,-40.12,174.3,-39.7163,175.1455,6119840.44,2620805.44,6163232,2693941,5.1,5.1,84.94,140.65,82.53,138.32,-42.25,-72.65,0,112,110.36,nu,087A,B,1000,Q3,<0.1,Q3,0,Q2,0,-99999,-99999,1,0.64,25,1.088,25,Webb_Anderson_1998&Dowrick_Rhoades1998&HarvardCMT,0.125009848,0.127207431,0.130953583,0.138342879,0.159068403,0.222993529,0.253763247,0.235468234,0.272557409,0.19430776,0.16143166,0.102126773,0.056696506,0.042718794,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.122834,0.03489
100789,1990-02-19T05:34:36.673000Z,A90032A1,6.24,0.08,Slab,N,1,209,72,-1.12E+02,special,-40.38,176.22,-39.9425,176.5874,6086791.59,2783346.23,6134136,2816486,13,13,57.81,62.25,51.34,55.75,-4.02,-57.47,0,23,16.82,nu,032A,C,495,Q3,0.13,Q3,10,Q3,0,-99999,-99999,1,0.5,11,0.85,11,Robinson_1994&Dowrick_Rhoades1998&HarvardCMT,0.199381981,0.200175996,0.201443838,0.203193096,0.205434401,0.213399651,0.251192085,0.402354887,0.587380769,0.530439187,0.456886641,0.505351273,0.275376286,0.219737135,0.102633317,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.199348,0.14673
100789,1990-02-19T05:34:36.673000Z,A90033A1,6.24,0.08,Slab,N,1,209,72,-1.12E+02,special,-40.38,176.22,-40.2088,176.0985,6086791.59,2783346.23,6106160,2773698,13,13,21.65,31.73,18.06,27.95,19.84,-12.26,0,23,16.82,nu,033A,C,367,Q3,0.33,Q3,30,Q3,0,-99999,-99999,1,0.38,19,0.646,19,Robinson_1994&Dowrick_Rhoades1998&HarvardCMT,0.303397341,0.306816584,0.312645087,0.322005266,0.335978197,0.382762691,0.464503242,0.563503818,0.542606002,0.73103986,0.767635175,0.943944678,0.538352141,0.354907382,0.133221347,0.122466245,-99999,-99999,-99999,-99999,-99999,-99999,0.302467,0.18609
100789,1990-02-19T05:34:36.673000Z,A90102A1,6.24,0.08,Slab,N,1,209,72,-1.12E+02,special,-40.38,176.22,-39.4637,175.5669,6086791.59,2783346.23,6190285,2730871,13,13,116.11,118.43,112.17,114.97,98.08,-65.08,0,23,16.82,nu,102A,C,555,Q3,0.15,Q3,12,Q3,0,-99999,-99999,1,0.4,15,0.68,15,Robinson_1994&Dowrick_Rhoades1998&HarvardCMT,0.038386781,0.03851539,0.038740878,0.039106016,0.039661937,0.042791452,0.046129904,0.077279442,0.069797855,0.101598197,0.148804921,0.085308576,0.101623666,0.066321594,0.082131226,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.038389,0.03372
100789,1990-02-19T05:34:36.673000Z,A90120A1,6.24,0.08,Slab,N,1,209,72,-1.12E+02,special,-40.38,176.22,-40.335,175.8682,6086791.59,2783346.23,6092817,2753648,13,13,30.23,38.1,27.71,35.87,30.9,9.13,0,23,16.82,nu,120A,D,290,Q3,1.1,Q3,100,Q3,0,-99999,-99999,1,0.3,16,0.51,16,Robinson_1994&Dowrick_Rhoades1998&HarvardCMT,0.220664846,0.221385735,0.222544126,0.224179663,0.226116128,0.21961358,0.280156399,0.384720794,0.629124276,0.647585215,0.541414719,0.355625158,0.529784714,0.210573837,0.20972719,0.103948143,-99999,-99999,-99999,-99999,-99999,-99999,0.220683,0.15151
