SEGMENT,LAT,LON,DEPTH,SLIP,STRIKE,DIP,RAKE,WIDTH,LENGTH
1, -46.2039, 166.0440, 19227.8781, 2.85311, 23.50, 31.36, 162.01, 5000.000, 5000.000
1, -46.2190, 166.0940, 21963.4445, 2.68710, 23.50, 33.17, 163.21, 5000.000, 5000.000
1, -46.2339, 166.1430, 24828.0856, 2.33794, 23.50, 34.95, 163.45, 5000.000, 5000.000
1, -46.2484, 166.1910, 27822.0260, 1.86072, 23.50, 36.77, 161.92, 5000.000, 5000.000
1, -46.2626, 166.2380, 30947.8406, 1.33117, 23.50, 38.67, 157.51, 5000.000, 5000.000
1, -46.2764, 166.2840, 34206.8576, 0.82813, 23.50, 40.65, 148.41, 5000.000, 5000.000
1, -46.2898, 166.3280, 37600.6372, 0.41482, 23.50, 42.72, 129.67, 5000.000, 5000.000
1, -46.3028, 166.3710, 41129.8659, 0.16713, 23.50, 44.85, 74.27, 5000.000, 5000.000
1, -46.3153, 166.4120, 44791.1578, 0.19964, 23.50, 47.03, 0.23, 5000.000, 5000.000
1, -46.3272, 166.4520, 48578.5848, 0.19929, 23.50, 49.20, 335.97, 5000.000, 5000.000
1, -46.3387, 166.4900, 52485.7186, 0.03296, 23.50, 51.34, 199.07, 5000.000, 5000.000
1, -46.0648, 165.7460, 6350.7757, 0.53291, 23.50, 13.37, 156.15, 5000.000, 5000.000
1, -46.0820, 165.8030, 7906.5447, 1.20164, 23.50, 18.13, 154.03, 5000.000, 5000.000
1, -46.0989, 165.8590, 9769.2467, 1.91627, 23.50, 21.87, 153.80, 5000.000, 5000.000
1, -46.1153, 165.9130, 11871.7091, 2.57364, 23.50, 24.86, 154.50, 5000.000, 5000.000
1, -46.1314, 165.9670, 14167.4869, 3.08704, 23.50, 27.33, 155.81, 5000.000, 5000.000
1, -46.1472, 166.0190, 16625.7292, 3.39170, 23.50, 29.45, 157.48, 5000.000, 5000.000
1, -46.1627, 166.0700, 19227.8781, 3.45037, 23.50, 31.36, 159.18, 5000.000, 5000.000
1, -46.1778, 166.1200, 21963.4445, 3.25804, 23.50, 33.17, 160.44, 5000.000, 5000.000
