MeasurementNumber,NZTM-mE,NZTM-mN,CO2
638,1883917,5771090,24.58
639,1883971,5771159,9.83
640,1884241,5771215,468.60
641,1884227,5771227,8.60
642,1884470,5771368,28.58
643,1884567,5771263,23.05
644,1884649,5771194,55.31
645,1884622,5771151,39.95
646,1884793,5771179,30.73
647,1884727,5771127,33.80
648,1884694,5771084,24.58
649,1884677,5771072,110.62
650,1884677,5771072,67.60
651,1884476,5771050,1.23
652,1884476,5771050,36.87
653,1884350,5770887,23.97
654,1884336,5771043,21.51
655,1884972,5771552,19.67
656,1884636,5771742,2618.02
657,1884427,5771723,101.40
658,1884460,5771672,21.51
659,1884452,5771633,184.37
660,1884481,5771688,84.50
661,1884613,5771600,9.22
662,1884237,5771799,61.46
663,1885374,5771238,54.95
664,1885323,5771165,1.29
665,1885360,5771141,24.24
666,1885409,5771180,3.23
667,1885426,5771206,1.29
668,1885464,5771245,45.25
669,1885434,5771284,109.89
670,1885468,5771250,9.70
671,1885502,5771202,1.29
672,1885510,5771165,1.29
673,1885564,5771182,1.94
674,1885552,5771169,226.25
675,1885596,5771234,336.15
676,1885565,5771255,11.64
677,1885643,5771190,1.29
678,1885701,5771210,1.29
679,1885640,5771142,7.76
680,1885595,5771128,1.29
681,1885602,5771087,1.29
682,1885576,5771078,1.29
683,1885491,5771137,2.26
684,1885465,5771082,1.29
685,1885508,5771027,8.08
686,1885543,5770985,1.29
687,1885574,5770900,5.17
688,1885674,5770948,5.82
689,1885417,5770982,5.17
690,1885423,5770928,10.02
691,1885405,5770865,9.05
692,1885366,5770860,1.28
693,1885393,5770832,133.82
694,1885347,5770906,16.01
695,1885313,5770854,32.65
696,1885279,5770801,48.02
697,1885257,5770843,91.24
698,1885275,5770831,4.16
699,1885301,5770781,29.13
700,1885235,5770879,271.80
701,1885209,5770896,299.66
702,1885189,5770902,26.89
703,1885141,5770920,13.77
704,1885099,5770873,22.09
705,1885219,5770926,8.96
706,1885222,5770952,25.61
707,1885220,5770967,56.03
708,1885218,5770976,25.29
709,1885237,5770996,161.03
710,1885257,5771018,22.41
711,1885284,5770996,26.57
712,1885254,5771050,172.88
713,1885329,5770968,11.21
714,1885320,5770941,1.28
715,1885288,5770924,35.22
716,1885320,5770925,66.91
717,1885293,5770882,128.38
718,1885336,5770960,4.80
719,1885348,5770999,3.84
720,1885370,5771001,25.61
721,1885333,5770905,27.21
722,1885389,5770895,3.20
723,1885427,5771005,274.37
724,1885412,5771101,1.28
725,1885298,5771217,65.63
726,1885290,5771180,102.13
727,1885238,5771190,11.21
728,1885249,5771155,169.36
729,1885316,5771152,32.01
730,1885242,5771088,47.38
731,1885323,5771117,110.77
732,1884838,5771023,1.29
733,1884850,5770992,1.29
734,1884867,5771047,27.74
735,1884900,5771110,4.52
736,1884977,5771130,20.96
737,1885009,5771125,4.19
738,1885065,5771061,147.08
739,1885044,5771087,1.94
740,1885024,5771066,22.58
741,1885069,5771013,29.67
742,1885110,5771005,2835.07
743,1885141,5771089,110.95
744,1885148,5771058,30.64
745,1885184,5771043,1751.36
746,1885140,5771010,28.71
747,1885194,5771013,10.97
748,1885117,5770975,16.77
749,1885140,5770970,181.91
