MeasurementNumber,NZTM-mE,NZTM-mN,CO2,GroundTemperature
358,1884903,5771281,61.75,0.150,26.5
359,1884844,5771416,98.63,0.096,24.4
360,1884698,5771446,54.46,0.139,26.5
361,1884439,5771343,75.59,0.102,28.5
362,1884444,5771635,68.85,0.139,26.1
363,1884438,5771728,15.38,0.037,24.1
364,1884488,5771721,60.91,0.184,24.6
365,1884603,5771656,406.52,0.037,28.0
366,1884831,5771623,71.78,0.096,27.6
367,1885020,5771560,59.26,0.074,27.0
368,1886446,5772633,14.67,0.043,22.8
369,1886433,5772774,409.04,0.482,36.9
370,1886361,5772798,0.00,0.000,49.1
371,1886352,5772819,123.63,0.510,36.1
372,1886340,5772833,0.00,0.453,56.2
373,1886384,5772959,13.20,0.028,21.2
374,1886461,5773046,44.93,0.043,21.6
375,1886359,5773281,18.70,0.312,25.3
376,1886365,5773307,85.49,1.190,60.3
377,1886309,5773012,19.80,0.028,23.9
378,1886179,5772941,38.22,0.025,22.4
379,1886058,5772863,404.57,0.128,23.9
380,1886214,5772656,49.11,0.085,22.5
381,1884263,5774331,9.82,0.062,35.7
382,1884341,5774360,221.54,0.059,31.8
383,1884402,5774487,62.58,0.053,27.4
384,1884459,5774507,14.19,0.020,27.9
385,1884449,5774625,37.15,0.031,31.0
386,1884388,5774666,35.29,0.028,33.3
387,1884243,5774685,28.74,0.020,26.0
388,1884159,5774598,47.41,0.048,38.8
389,1884148,5774553,112.68,0.084,28.2
390,1884098,5774414,19.28,0.084,20.3
391,1884059,5774325,77.93,0.067,24.3
392,1884058,5774318,72.69,0.063,25.9
393,1884468,5771066,5.89,0.040,25.1
394,1884399,5771173,34.58,0.026,27.5
395,1884371,5771240,70.00,0.045,30.4
396,1884443,5770948,38.92,0.021,22.4
397,1884476,5770945,92.19,0.015,27.8
398,1884517,5770780,74.16,0.034,22.9
399,1884450,5770758,0.00,0.040,23.0
400,1883855,5772602,35.68,0.048,32.4
401,1883806,5773074,25.75,0.088,36.9
402,1883703,5773312,45.03,0.026,35.8
403,1883642,5773599,119.59,0.102,34.0
404,1883585,5773871,100.24,0.068,30.7
405,1885581,5771210,5.13,0.057,43.9
406,1885594,5771220,0.00,0.082,33.3
