MeasurementNumber,NZTM-mE,NZTM-mN,CO2,GroundTemperature
15032011031,1877924,5719784,112.9,25.0
15032011032,1877924,5719791,823.8,36.8
15032011033,1877928,5719802,3.1,20.0
15032011034,1877936,5719805,24.4,19.5
15032011035,1877943,5719803,579.7,25.0
15032011036,1877960,5719814,36.6,19.0
15032011037,1877942,5719831,6.1,17.0
15032011038,1877941,5719827,30.5,26.0
15032011039,1877921,5719839,3.1,21.4
15032011040,1877921,5719820,12.2,20.5
15032011041,1877920,5719813,9.2,22.0
15032011042,1877907,5719833,6.1,18.2
15032011043,1877903,5719814,24.4,18.4
15032011044,1877888,5719801,3.1,20.4
15032011045,1877910,5719801,3.1,23.2
15032011046,1877918,5719780,6773.1,30.4
15032011047,1877905,5719773,27.5,25.0
15032011048,1877917,5719769,21.4,23.4
15032011049,1877923,5719775,3784.4,24.4
15032011050,1877929,5719774,91.6,21.8
15032011051,1877936,5719772,36.6,24.5
15032011052,1877933,5719770,2783.4,30.5
15032011053,1877928,5719769,70.2,29.4
15032011054,1877929,5719760,457.8,22.6
15032011055,1877921,5719763,106.8,23.1
15032011056,1877920,5719757,27.5,22.2
15032011057,1877916,5719754,9.2,20.6
15032011058,1877911,5719765,24.4,21.1
15032011059,1877905,5719754,39.7,23.9
15032011060,1877911,5719733,6.1,22.2
15032011061,1877923,5719743,21.4,23.0
15032011062,1877924,5719736,51.9,22.3
15032011063,1877924,5719723,7.6,26.7
15032011064,1877912,5719715,10.7,20.0
15032011065,1877902,5719704,33.6,20.1
15032011066,1877888,5719692,23.5,19.8
15032011067,1877865,5719684,24.4,20.5
15032011068,1877858,5719688,13.7,20.6
15032011069,1877848,5719678,21.4,21.6
15032011070,1877837,5719689,6.1,21.2
15032011071,1877924,5719705,9.2,20.2
15032011072,1877920,5719690,26.9,20.5
15032011073,1877924,5719678,18.2,18.8
15032011074,1877937,5719680,24.2,19.8
15032011075,1877946,5719668,9.1,24.5
15032011076,1877957,5719688,27.3,20.2
15032011077,1877974,5719695,18.2,18.3
15032011078,1877976,5719705,15.1,18.2
15032011079,1877973,5719729,12.1,20.9
15032011080,1877975,5719736,230.1,23.1
15032011081,1877976,5719730,12.1,18.0
15032011082,1877995,5719730,24222.8,33.6
15032011083,1877997,5719729,211.9,37.2
15032011084,1878002,5719738,51.5,39.7
15032011085,1878006,5719735,9.1,28.9
15032011086,1878010,5719714,18.2,28.0
15032011087,1878012,5719753,15.1,26.0
15032011088,1878024,5719778,3.0,26.6
16032011001,1877714,5719868,48.4,23.3
16032011002,1877723,5719877,17.8,21.2
16032011003,1877730,5719876,8.8,21.5
16032011004,1877753,5719881,3.3,20.2
16032011005,1877742,5719870,3098.4,18.9
16032011006,1877747,5719876,8.8,19.5
16032011007,1877746,5719866,4.5,18.5
16032011008,1877740,5719866,3.9,20.5
16032011009,1877738,5719871,2.3,19.0
16032011010,1877547,5719901,237.9,21.5
16032011011,1877529,5719900,499.2,25.5
16032011012,1877529,5719906,20.3,23.5
16032011013,1877538,5719904,25583.4,24.2
16032011014,1877543,5719908,3678.4,23.0
16032011015,1877552,5719905,329.3,21.5
16032011016,1877553,5719911,440.5,22.5
16032011017,1877564,5719913,23.7,24.9
16032011018,1877557,5719923,934.4,23.9
16032011019,1877564,5719923,0.2,28.3
16032011020,1877561,5719938,10.9,27.0
16032011021,1877555,5719932,3555.7,25.0
16032011022,1877557,5719941,25.5,41.4
16032011023,1877550,5719938,1000.7,25.1
16032011024,1877544,5719939,1152.3,21.6
16032011025,1877546,5719945,4.6,23.2
16032011026,1877552,5719942,578.8,23.5
16032011027,1877558,5719943,10.3,26.4
16032011028,1877554,5719951,16.7,29.0
16032011029,1877555,5719959,6.4,26.6
16032011030,1877551,5719951,328.8,37.5
16032011031,1877546,5719947,19945.9,26.8
16032011032,1877541,5719943,3184.1,25.0
16032011033,1877541,5719950,41.5,29.3
16032011034,1877534,5719947,7.6,35.7
16032011035,1877534,5719953,2212.0,30.6
16032011036,1877541,5719955,20.2,25.8
16032011037,1877547,5719953,11037.7,30.6
16032011038,1877548,5719960,1279.2,41.8
16032011039,1877544,5719961,1752.9,34.3
16032011040,1877537,5719963,16157.7,30.6
16032011041,1877540,5719969,934.9,25.3
16032011042,1877550,5719966,14.5,25.7
16032011043,1877541,5719974,3.9,24.7
16032011044,1877534,5719970,126.8,31.0
16032011045,1877532,5719972,57.4,26.0
16032011046,1877527,5719976,3399.6,28.3
16032011047,1877522,5719975,1560.7,28.9
16032011048,1877515,5719966,1092.8,26.5
16032011049,1877515,5719960,188.4,31.2
16032011050,1877513,5719967,24.1,22.8
16032011051,1877513,5719976,114.7,23.7
16032011052,1877505,5719975,16.9,23.9
16032011053,1877510,5719983,11.8,22.1
16032011054,1877515,5719973,1349.4,52.9
16032011055,1877518,5719983,5.4,21.8
16032011056,1877532,5719984,8.2,22.8
16032011057,1877538,5719980,13.9,27.5
16032011058,1877509,5719961,194.7,22.8
16032011059,1877501,5719965,12.1,25.0
16032011060,1877507,5719955,74.3,25.0
16032011061,1877499,5719958,12.8,22.8
16032011062,1877515,5719953,36.5,23.0
16032011063,1877518,5719956,67.9,26.8
16032011064,1877526,5719964,1208.4,28.8
16032011065,1877527,5719962,193.6,31.7
16032011066,1877532,5719951,4255.0,98.6
16032011067,1877533,5719942,3.9,22.8
16032011068,1877534,5719939,27525.8,30.1
16032011069,1877539,5719934,2198.9,24.7
16032011070,1877527,5719930,5343.8,23.6
16032011071,1877535,5719930,12.2,24.2
16032011072,1877522,5719935,130.4,23.9
16032011073,1877523,5719945,6.8,33.0
16032011074,1877524,5719950,1313.7,54.3
16032011075,1877519,5719954,549.2,44.1
16032011076,1877518,5719950,184.2,26.7
16032011077,1877504,5719947,392.9,30.8
16032011078,1877500,5719953,51.0,29.5
16032011079,1877492,5719950,15.4,26.1
16032011080,1877495,5719938,10.7,25.4
16032011081,1877504,5719941,128.7,28.6
16032011082,1877499,5719942,13.0,21.4
16032011083,1877506,5719932,312.6,22.7
16032011084,1877514,5719940,184.2,25.5
16032011085,1877517,5719936,1177.4,38.8
16032011086,1877516,5719934,18883.8,23.8
16032011087,1877512,5719933,6237.1,23.8
16032011088,1877507,5719928,291.5,23.8
16032011089,1877504,5719923,338.5,23.6
16032011090,1877499,5719920,2388.3,29.2
16032011091,1877502,5719914,4042.2,23.8
16032011092,1877509,5719918,6433.2,23.5
16032011093,1877503,5719913,1445.2,24.8
16032011094,1877493,5719914,1250.4,30.0
16032011095,1877489,5719917,13.8,27.6
16032011096,1877493,5719923,83.5,25.1
16032011097,1877496,5719932,60.9,22.6
16032011098,1877500,5719928,766.3,32.4
16032011099,1877485,5719932,24.6,24.4
16032011100,1877480,5719942,13.2,25.4
16032011101,1877480,5719919,11.1,24.5
16032011102,1877489,5719901,10.5,21.6
16032011103,1877496,5719897,22.5,21.6
16032011104,1877504,5719891,61.5,23.5
16032011105,1877498,5719887,9.0,20.7
16032011106,1877506,5719902,173.0,25.4
16032011107,1877512,5719904,21101.4,26.1
16032011108,1877513,5719895,56.7,21.5
16032011109,1877517,5719899,12961.1,29.9
16032011110,1877519,5719908,13520.4,27.0
16032011111,1877523,5719906,452.4,24.4
16032011112,1877512,5719907,3326.7,24.0
16032011113,1877524,5719895,718.7,25.2
16032011114,1877530,5719895,20562.6,26.5
16032011115,1877525,5719892,37723.1,25.2
16032011116,1877525,5719891,1514.1,24.8
16032011117,1877521,5719887,47.5,26.9
16032011118,1877508,5719886,183.4,24.5
16032011119,1877516,5719878,370.1,27.7
16032011120,1877512,5719872,21.7,19.8
16032011121,1877511,5719880,232.9,23.2
16032011122,1877514,5719889,19.0,26.8
16032011123,1877522,5719882,135.3,28.6
16032011124,1877529,5719874,75.9,24.2
16032011125,1877530,5719864,28.2,28.1
16032011126,1877518,5719859,73.9,24.2
16032011127,1877527,5719853,14.2,25.0
