This corresponds to Model B of Holden et al. (2017), Geophysical Research Letters, http://dx.doi.org/10.1002/2017GL075301.
    segment           lat             lon          depth(km)       slip(m)     risetime(s)    rupturetime(s)       strike           dip             rake         patchlength(m)     patchwidth(m)   
               1      -42.675694       172.81496       6.6850283            2.48               2               10.17             248              61             120                  3000                3000
               1      -42.685714       172.78089       6.6850283            2.37               2               11.51             248              61             120                  3000                3000
               1      -42.695814       172.74692       6.6850283            2.25               2               12.92             248              61             120                  3000                3000
               1      -42.705814       172.71295       6.6850283            2.12               2               14.39             248              61             120                  3000                3000
               1      -42.715894       172.67896       6.6850283            1.98               2               15.88             248              61             120                  3000                3000
               1      -42.725874       172.64496       6.6850283            1.84               2               17.41             248              61             120                  3000                3000
               1      -42.735843       172.61095       6.6850283            1.61               2               18.95             248              61             120                  3000                3000
               1       -42.37799       173.75488       9.3088867            0.84               2               38.84             248              61             120                  3000                3000
               1      -42.388376       173.72124       9.3088867            1.28               2               37.23             248              61             120                  3000                3000
               1      -42.398661       173.68759       9.3088867            1.53               2               35.62             248              61             120                  3000                3000
               1      -42.409027       173.65392       9.3088867            1.76               2               34.01             248              61             120                  3000                3000
               1      -42.419294       173.62025       9.3088867            1.91               2                32.4             248              61             120                  3000                3000
               1       -42.42955       173.58656       9.3088867            2.12               2               30.79             248              61             120                  3000                3000
               1      -42.439887       173.55275       9.3088867            2.25               2               29.18             248              61             120                  3000                3000
               1      -42.450124       173.51904       9.3088867            2.37               2               27.58             248              61             120                  3000                3000
               1      -42.460441       173.48532       9.3088867            2.48               2               25.97             248              61             120                  3000                3000
               1      -42.470658       173.45159       9.3088867            2.53               2               24.37             248              61             120                  3000                3000
               1      -42.480865       173.41785       9.3088867            2.63               2               22.77             248              61             120                  3000                3000
               1      -42.491152        173.3841       9.3088867            2.71               2               21.17             248              61             120                  3000                3000
               1       -42.50134       173.35034       9.3088867            2.75               2               19.58             248              61             120                  3000                3000
               1      -42.511518       173.31645       9.3088867            2.82               2               17.99             248              61             120                  3000                3000
               1      -42.521776       173.28266       9.3088867            2.85               2                16.4             248              61             120                  3000                3000
               1      -42.531933       173.24887       9.3088867            2.88               2               14.82             248              61             120                  3000                3000
               1      -42.542171       173.21506       9.3088867            2.93               2               13.25             248              61             120                  3000                3000
               1      -42.552309       173.18124       9.3088867            2.93               2                11.7             248              61             120                  3000                3000
               1      -42.562437       173.14742       9.3088867            2.95               2               10.16             248              61             120                  3000                3000
               1      -42.572646       173.11346       9.3088867            2.95               2                8.65             248              61             120                  3000                3000
               1      -42.582754       173.07961       9.3088867            2.93               2                7.18             248              61             120                  3000                3000
               1      -42.592852       173.04575       9.3088867            2.93               2                 5.8             248              61             120                  3000                3000
               1       -42.60303       173.01187       9.3088867            2.88               2                4.57             248              61             120                  3000                3000
               1      -42.613109       172.97799       9.3088867            2.85               2                3.66             248              61             120                  3000                3000
               1      -42.623267        172.9441       9.3088867            2.82               2                3.34             248              61             120                  3000                3000
               1      -42.633325       172.91019       9.3088867            2.75               2                3.76             248              61             120                  3000                3000
               1      -42.643373       172.87616       9.3088867            2.71               2                6.66             248              61             120                  3000                3000
               1      -42.653501       172.84223       9.3088867            2.63               2                7.91             248              61             120                  3000                3000
               1       -42.66353       172.80829       9.3088867            2.53               2                9.31             248              61             120                  3000                3000
               1      -42.673638       172.77434       9.3088867            2.48               2               10.78             248              61             120                  3000                3000
               1      -42.683646       172.74038       9.3088867            2.37               2               12.29             248              61             120                  3000                3000
               1      -42.693644       172.70641       9.3088867            2.25               2               13.84             248              61             120                  3000                3000
               1      -42.703722       172.67231       9.3088867            2.12               2               15.39             248              61             120                  3000                3000
               1        -42.7137       172.63832       9.3088867            1.91               2               16.97             248              61             120                  3000                3000
               1      -42.723667       172.60431       9.3088867            1.76               2               18.55             248              61             120                  3000                3000
               1       -42.36597       173.74818       11.932746            0.93               2               38.73             248              61             120                  3000                3000
               1      -42.376264       173.71454       11.932746            1.36               2               37.12             248              61             120                  3000                3000
               1      -42.386547        173.6809       11.932746            1.61               2                35.5             248              61             120                  3000                3000
               1      -42.396912       173.64712       11.932746            1.84               2               33.89             248              61             120                  3000                3000
               1      -42.407176       173.61345       11.932746            1.98               2               32.27             248              61             120                  3000                3000
               1      -42.417521       173.57977       11.932746            2.19               2               30.66             248              61             120                  3000                3000
               1      -42.427765       173.54608       11.932746            2.31               2               29.04             248              61             120                  3000                3000
               1         -42.438       173.51238       11.932746            2.43               2               27.43             248              61             120                  3000                3000
               1      -42.448315       173.47867       11.932746            2.53               2               25.82             248              61             120                  3000                3000
               1       -42.45853       173.44494       11.932746            2.63               2                24.2             248              61             120                  3000                3000
               1      -42.468736       173.41109       11.932746            2.67               2               22.59             248              61             120                  3000                3000
               1      -42.479021       173.37734       11.932746            2.75               2               20.98             248              61             120                  3000                3000
               1      -42.489207       173.34359       11.932746            2.82               2               19.37             248              61             120                  3000                3000
               1      -42.499472       173.30982       11.932746            2.85               2               17.76             248              61             120                  3000                3000
