segment,lon (deg),lat (deg),depth (m),slip (m),strike (deg),dip (deg),rake (deg),rupture time (s),length (m),width (m)
1,179.657623,-37.71994,32000,0.625,70.38,81.875,-117.147, ,10000,5000
1,179.638153,-37.762249,32000,0.477,71.343,77.518,-122.875, ,10000,5000
1,179.618668,-37.804562,32000,0.266,74.964,71.449,-127.805, ,10000,5000
1,179.870377,-37.254292,22000,0.124,53.542,17.09,22.175, ,10000,5000
1,179.851135,-37.296638,22000,0.231,45.478,21.193,25.311, ,10000,5000
1,179.831894,-37.338982,22000,0.291,25.822,22.294,20.893, ,10000,5000
1,179.812607,-37.381321,22000,0.376,266.842,86.11,109.304, ,10000,5000
1,179.79332,-37.42366,22000,0.472,352.898,17.711,4.062, ,10000,5000
1,179.774002,-37.466,22000,0.567,341.106,17.609,-1.314, ,10000,5000
1,179.754654,-37.508331,22000,0.651,67.51,88.396,-108.841, ,10000,5000
1,179.735306,-37.550659,22000,0.708,64.789,87.663,-110.626, ,10000,5000
1,179.715912,-37.592991,22000,0.737,62.5,87.808,-111.532, ,10000,5000
1,179.696503,-37.635311,22000,0.722,59.834,89.4,-110.823, ,10000,5000
1,179.677078,-37.677631,22000,0.646,329.992,23.194,-0.693, ,10000,5000
1,179.657623,-37.71994,22000,0.536,329.33,26.917,-4.029, ,10000,5000
1,179.638153,-37.762249,22000,0.389,325.52,32.907,-12.408, ,10000,5000
1,179.618668,-37.804562,22000,0.206,62.715,81.893,-122.337, ,10000,5000
1,179.870377,-37.254292,12000,0.124,38.48,24.082,37.391, ,10000,5000
1,179.851135,-37.296638,12000,0.217,34.666,23.4,32.33, ,10000,5000
1,179.831894,-37.338982,12000,0.267,30.365,23.29,30.798, ,10000,5000
1,179.812607,-37.381321,12000,0.282,-89.666,80.633,110.987, ,10000,5000
1,179.79332,-37.42366,12000,0.289,263.056,81.221,110.516, ,10000,5000
1,179.774002,-37.466,12000,0.31,252.897,82.405,109.476, ,10000,5000
1,179.754654,-37.508331,12000,0.358,349.773,19.601,15.77, ,10000,5000
1,179.735306,-37.550659,12000,0.403,240.937,86.999,109.279, ,10000,5000
1,179.715912,-37.592991,12000,0.434,240.016,88.585,109.615, ,10000,5000
1,179.696503,-37.635311,12000,0.426,238.704,88.779,110.242, ,10000,5000
1,179.677078,-37.677631,12000,0.388,239.412,89.407,112.684, ,10000,5000
1,179.657623,-37.71994,12000,0.328,60.876,88.715,-114.572, ,10000,5000
1,179.638153,-37.762249,12000,0.255,62.979,84.142,-117.518, ,10000,5000
1,179.618668,-37.804562,12000,0.117,64.068,84.563,-116.052, ,10000,5000
