#ID,OT,Lat,Lon,Dep,NrStaMLv,NrStaMLNZ20,MLv,MLNZ20,Ratio MLNZ20/MLv
2025p051477,2025-01-20T01:07:07.5Z,-44.29,169.30,5,2,2,2.36,2.27,.9618
2025p051484,2025-01-20T01:11:33.3Z,-39.48,175.61,59,27,26,2.27,2.35,1.035
2025p051576,2025-01-20T02:00:07.6Z,-39.46,175.93,8,7,7,0.75,0.52,.6933
2025p051613,2025-01-20T02:18:36.1Z,-33.20,179.84,474,7,7,4.28,3.17,.7406
2025p051646,2025-01-20T02:37:15.4Z,-39.18,175.10,13,3,2,1.14,1.08,.9473
2025p051712,2025-01-20T03:12:40.8Z,-37.47,179.83,33,6,6,2.73,2.62,.9597
2025p051806,2025-01-20T04:01:54.9Z,-37.14,176.61,225,4,4,2.31,2.22,.9610
2025p051881,2025-01-20T04:42:17.5Z,-39.19,177.34,20,4,4,1.64,1.43,.8719
2025p051888,2025-01-20T04:46:02.1Z,-42.65,171.85,5,2,2,1.74,1.65,.9482
2025p051997,2025-01-20T05:44:20.5Z,-40.31,176.34,24,5,5,1.37,1.32,.9635
2025p052047,2025-01-20T06:11:05.7Z,-39.13,174.92,19,3,2,1.44,1.17,.8125
2025p052085,2025-01-20T06:31:09.5Z,-39.44,175.96,9,6,7,0.79,0.52,.6582
2025p052110,2025-01-20T06:44:15.9Z,-39.20,177.32,20,25,24,2.55,2.36,.9254
2025p052131,2025-01-20T06:55:47.6Z,-43.42,171.39,5,2,1,1.36,1.24,.9117
2025p052200,2025-01-20T07:32:13.6Z,-41.16,173.65,64,5,5,1.72,1.61,.9360
2025p052247,2025-01-20T07:57:49.3Z,-38.34,176.23,7,8,7,1.71,1.72,1.005
2025p052257,2025-01-20T08:02:39.7Z,-39.63,176.74,23,20,19,2.28,2.06,.9035
2025p052259,2025-01-20T08:03:52.6Z,-40.63,175.79,17,8,8,1.64,1.49,.9085
2025p052268,2025-01-20T08:08:35.7Z,-40.89,173.96,79,9,9,2.14,2.07,.9672
2025p052288,2025-01-20T08:19:22.6Z,-38.01,176.25,178,3,2,1.93,2.01,1.041
2025p052315,2025-01-20T08:33:30.7Z,-43.49,172.88,5,7,7,2.50,2.27,.9080
2025p052414,2025-01-20T09:26:20.8Z,-40.20,176.18,17,7,7,1.20,1.00,.8333
2025p052534,2025-01-20T10:30:38.0Z,-39.51,175.69,12,8,7,1.36,1.07,.7867
2025p052551,2025-01-20T10:39:15.1Z,-38.94,175.83,4,12,9,1.59,1.31,.8238
2025p052558,2025-01-20T10:43:15.5Z,-39.54,177.10,23,8,8,1.70,1.47,.8647
2025p052566,2025-01-20T10:47:16.5Z,-40.28,175.23,55,7,6,1.45,1.37,.9448
2025p052635,2025-01-20T11:24:20.1Z,-38.66,176.10,5,6,7,1.57,1.26,.8025
2025p052638,2025-01-20T11:25:40.6Z,-38.66,176.09,5,9,7,1.73,1.51,.8728
2025p052651,2025-01-20T11:32:37.2Z,-39.53,175.63,12,6,6,0.87,0.75,.8620
2025p052656,2025-01-20T11:35:13.4Z,-39.55,175.65,5,5,4,0.70,0.44,.6285
2025p052657,2025-01-20T11:36:09.6Z,-39.36,175.70,57,16,15,1.68,1.88,1.119
2025p052672,2025-01-20T11:43:46.0Z,-38.66,176.10,5,10,6,1.57,1.42,.9044
2025p052681,2025-01-20T11:48:47.9Z,-38.66,176.09,5,9,11,1.87,1.64,.8770
2025p052700,2025-01-20T11:58:55.5Z,-38.66,176.10,5,6,7,1.57,1.27,.8089
2025p052713,2025-01-20T12:05:42.5Z,-40.65,175.83,23,18,17,1.94,1.82,.9381
2025p052745,2025-01-20T12:23:05.4Z,-37.56,176.36,261,7,7,2.18,2.09,.9587
