This corresponds to Model A of Holden et al. (2017), Geophysical Research Letters, http://dx.doi.org/10.1002/2017GL075301.
     segment             lat                lon            depth (km)           slip (m)         rise_time (s)    rupture time (s)        strike              dip               rake         patch length (m)       patch width (m)    
               10          -42.50635          173.13540           13.75000              2.50879           3.00000            9.96779          240.30500          55.00000         103.44340           1867.86700             3051.93600
               10          -42.57007          173.15400            3.75000              3.81110           3.12353            9.98578          240.30500          55.00000         120.76010           1867.86700             3051.93600
                6          -42.46822          173.02700           15.27778              0.00000           3.00000            9.98587          241.38950          70.00000         180.00000           1929.23500             2956.05000
               10          -42.49997          173.10550           16.25000              0.94485           3.00000           10.04717          240.30500          55.00000          96.52200           1867.86700             3051.93600
               16          -42.51629          173.10850           18.05556              0.00000           3.00000           10.15621          194.03620          60.00000         180.00000           1894.49800             3207.50100
               16          -42.54914          173.17670            6.94444              1.12552           3.00000           10.30713          194.03620          60.00000          96.78740           1894.49800             3207.50100
               16          -42.50823          173.15250           12.50000              0.74162           3.00000           10.33156          194.03620          60.00000          90.00000           1894.49800             3207.50200
               16          -42.50410          173.13380           15.27778              0.13264           3.00000           10.34635          194.03620          60.00000          90.00000           1894.49800             3207.50200
                8          -42.51524          172.88920           18.75000              0.00000           3.00000           10.34688          267.98540          55.00000         180.00000           1975.09600             3051.93600
                6          -42.46122          173.07450           12.50000              0.00000           3.00000           10.37577          241.38950          70.00000         180.00000           1929.23500             2956.05000
               16          -42.52847          173.08320           20.83333              0.00000           3.00000           10.44342          194.03620          60.00000         180.00000           1894.49800             3207.50200
                9          -42.49483          173.07160           18.75000              0.00658           3.00000           10.47631          247.32550          55.00000         180.00000           2076.67700             3051.93600
                6          -42.48575          173.09060            4.16667              1.19639           3.00000           10.48667          241.38950          70.00000         174.20800           1929.23500             2956.05000
               10          -42.52673          173.17510            8.75000              5.22554           3.65751           10.50965          240.30500          55.00000         112.67310           1867.86700             3051.93600
                6          -42.46064          173.04800           15.27778              0.00000           3.00000           10.57327          241.38950          70.00000         180.00000           1929.23500             2956.05000
