SEGMENT,lat,lon,DEPTH,SLIP,STRIKE,DIP,RAKE,WIDTH,LENGTH,rise_time,RUPTURE TIME
1,-42.470658,173.45159,9308.8867,2.53,248,61,120,3000,3000,2,24.37
1,-42.480865,173.41785,9308.8867,2.63,248,61,120,3000,3000,2,22.77
1,-42.491152,173.3841,9308.8867,2.71,248,61,120,3000,3000,2,21.17
1,-42.50134,173.35034,9308.8867,2.75,248,61,120,3000,3000,2,19.58
1,-42.511518,173.31645,9308.8867,2.82,248,61,120,3000,3000,2,17.99
1,-42.521776,173.28266,9308.8867,2.85,248,61,120,3000,3000,2,16.4
1,-42.531933,173.24887,9308.8867,2.88,248,61,120,3000,3000,2,14.82
1,-42.542171,173.21506,9308.8867,2.93,248,61,120,3000,3000,2,13.25
1,-42.552309,173.18124,9308.8867,2.93,248,61,120,3000,3000,2,11.7
1,-42.562437,173.14742,9308.8867,2.95,248,61,120,3000,3000,2,10.16
1,-42.572646,173.11346,9308.8867,2.95,248,61,120,3000,3000,2,8.65
1,-42.582754,173.07961,9308.8867,2.93,248,61,120,3000,3000,2,7.18
1,-42.592852,173.04575,9308.8867,2.93,248,61,120,3000,3000,2,5.8
1,-42.60303,173.01187,9308.8867,2.88,248,61,120,3000,3000,2,4.57
1,-42.613109,172.97799,9308.8867,2.85,248,61,120,3000,3000,2,3.66
1,-42.623267,172.9441,9308.8867,2.82,248,61,120,3000,3000,2,3.34
1,-42.633325,172.91019,9308.8867,2.75,248,61,120,3000,3000,2,3.76
1,-42.643373,172.87616,9308.8867,2.71,248,61,120,3000,3000,2,6.66
1,-42.653501,172.84223,9308.8867,2.63,248,61,120,3000,3000,2,7.91
1,-42.66353,172.80829,9308.8867,2.53,248,61,120,3000,3000,2,9.31
1,-42.673638,172.77434,9308.8867,2.48,248,61,120,3000,3000,2,10.78
1,-42.683646,172.74038,9308.8867,2.37,248,61,120,3000,3000,2,12.29
1,-42.693644,172.70641,9308.8867,2.25,248,61,120,3000,3000,2,13.84
1,-42.703722,172.67231,9308.8867,2.12,248,61,120,3000,3000,2,15.39
1,-42.7137,172.63832,9308.8867,1.91,248,61,120,3000,3000,2,16.97
1,-42.723667,172.60431,9308.8867,1.76,248,61,120,3000,3000,2,18.55
