segment,lon (deg),lat (deg),depth (m),slip (m),strike (deg),dip (deg),rake (deg),rupture time (s),length (m),width (m)
1, , ,9546.8457,0.74,54, ,118.459,2.061,1000,1000
1, , ,9546.8457,0.91,54, ,118.459,2.039,1000,1000
1, , ,9546.8457,0.76,54, ,118.459,2.042,1000,1000
1, , ,9546.8457,0.44,54, ,118.459,2.07,1000,1000
1, , ,9546.8457,0.18,54, ,118.459,2.123,1000,1000
1, , ,9546.8457,0.05,54, ,118.459,2.198,1000,1000
1, , ,9546.8457,0.0,54, ,118.459,2.293,1000,1000
1, , ,9546.8457,0.0,54, ,118.459,2.406,1000,1000
1, , ,9546.8457,0.0,54, ,118.459,2.535,1000,1000
1, , ,9546.8457,0.0,54, ,118.459,2.676,1000,1000
1, , ,9546.8457,0.0,54, ,118.459,2.829,1000,1000
1, , ,9546.8457,0.0,54, ,118.459,2.992,1000,1000
1, , ,10453.1543,0.0,54, ,118.459,2.798,1000,1000
1, , ,10453.1543,0.0,54, ,118.459,2.629,1000,1000
1, , ,10453.1543,0.0,54, ,118.459,2.468,1000,1000
1, , ,10453.1543,0.0,54, ,118.459,2.32,1000,1000
1, , ,10453.1543,0.0,54, ,118.459,2.184,1000,1000
1, , ,10453.1543,0.04,54, ,118.459,2.065,1000,1000
1, , ,10453.1543,0.14,54, ,118.459,1.966,1000,1000
1, , ,10453.1543,0.36,54, ,118.459,1.888,1000,1000
1, , ,10453.1543,0.64,54, ,118.459,1.836,1000,1000
1, , ,10453.1543,0.78,54, ,118.459,1.811,1000,1000
1, , ,10453.1543,0.66,54, ,118.459,1.815,1000,1000
1, , ,10453.1543,0.38,54, ,118.459,1.847,1000,1000
1, , ,10453.1543,0.15,54, ,118.459,1.905,1000,1000
1, , ,10453.1543,0.04,54, ,118.459,1.989,1000,1000
1, , ,10453.1543,0.0,54, ,118.459,2.093,1000,1000
1, , ,10453.1543,0.0,54, ,118.459,2.217,1000,1000
1, , ,10453.1543,0.0,54, ,118.459,2.356,1000,1000
1, , ,10453.1543,0.0,54, ,118.459,2.507,1000,1000
1, , ,10453.1543,0.0,54, ,118.459,2.67,1000,1000
1, , ,10453.1543,0.0,54, ,118.459,2.842,1000,1000
1, , ,11359.461900000002,0.0,54, ,118.459,2.657,1000,1000
1, , ,11359.461900000002,0.0,54, ,118.459,2.477,1000,1000
1, , ,11359.461900000002,0.0,54, ,118.459,2.307,1000,1000
1, , ,11359.461900000002,0.0,54, ,118.459,2.147,1000,1000
1, , ,11359.461900000002,0.0,54, ,118.459,2.0,1000,1000
1, , ,11359.461900000002,0.03,54, ,118.459,1.869,1000,1000
1, , ,11359.461900000002,0.11,54, ,118.459,1.758,1000,1000
1, , ,11359.461900000002,0.28,54, ,118.459,1.672,1000,1000
1, , ,11359.461900000002,0.5,54, ,118.459,1.612,1000,1000
1, , ,11359.461900000002,0.61,54, ,118.459,1.584,1000,1000
1, , ,11359.461900000002,0.51,54, ,118.459,1.588,1000,1000
1, , ,11359.461900000002,0.3,54, ,118.459,1.624,1000,1000
1, , ,11359.461900000002,0.12,54, ,118.459,1.691,1000,1000
1, , ,11359.461900000002,0.03,54, ,118.459,1.784,1000,1000
1, , ,11359.461900000002,0.0,54, ,118.459,1.9,1000,1000
1, , ,11359.461900000002,0.0,54, ,118.459,2.035,1000,1000
1, , ,11359.461900000002,0.0,54, ,118.459,2.186,1000,1000
1, , ,11359.461900000002,0.0,54, ,118.459,2.349,1000,1000
1, , ,11359.461900000002,0.0,54, ,118.459,2.521,1000,1000
1, , ,11359.461900000002,0.0,54, ,118.459,2.703,1000,1000
1, , ,12265.7695,0.0,54, ,118.459,2.528,1000,1000
1, , ,12265.7695,0.0,54, ,118.459,2.339,1000,1000
1, , ,12265.7695,0.0,54, ,118.459,2.157,1000,1000
1, , ,12265.7695,0.0,54, ,118.459,1.985,1000,1000
1, , ,12265.7695,0.0,54, ,118.459,1.825,1000,1000
1, , ,12265.7695,0.02,54, ,118.459,1.681,1000,1000
1, , ,12265.7695,0.08,54, ,118.459,1.557,1000,1000
1, , ,12265.7695,0.2,54, ,118.459,1.458,1000,1000
1, , ,12265.7695,0.35,54, ,118.459,1.39,1000,1000
1, , ,12265.7695,0.43,54, ,118.459,1.357,1000,1000
1, , ,12265.7695,0.36,54, ,118.459,1.361,1000,1000
1, , ,12265.7695,0.21,54, ,118.459,1.404,1000,1000
1, , ,12265.7695,0.08,54, ,118.459,1.48,1000,1000
1, , ,12265.7695,0.02,54, ,118.459,1.586,1000,1000
1, , ,12265.7695,0.0,54, ,118.459,1.715,1000,1000
1, , ,12265.7695,0.0,54, ,118.459,1.864,1000,1000
1, , ,12265.7695,0.0,54, ,118.459,2.027,1000,1000
1, , ,12265.7695,0.0,54, ,118.459,2.202,1000,1000
1, , ,12265.7695,0.0,54, ,118.459,2.385,1000,1000
1, , ,12265.7695,0.0,54, ,118.459,2.576,1000,1000
1, , ,13172.0771,0.0,54, ,118.459,2.413,1000,1000
1, , ,13172.0771,0.0,54, ,118.459,2.215,1000,1000
1, , ,13172.0771,0.0,54, ,118.459,2.022,1000,1000
1, , ,13172.0771,0.0,54, ,118.459,1.837,1000,1000
1, , ,13172.0771,0.0,54, ,118.459,1.663,1000,1000
1, , ,13172.0771,0.01,54, ,118.459,1.504,1000,1000
1, , ,13172.0771,0.05,54, ,118.459,1.363,1000,1000
1, , ,13172.0771,0.13,54, ,118.459,1.249,1000,1000
1, , ,13172.0771,0.23,54, ,118.459,1.169,1000,1000
1, , ,13172.0771,0.28,54, ,118.459,1.13,1000,1000
1, , ,13172.0771,0.24,54, ,118.459,1.135,1000,1000
1, , ,13172.0771,0.14,54, ,118.459,1.186,1000,1000
1, , ,13172.0771,0.05,54, ,118.459,1.275,1000,1000
1, , ,13172.0771,0.01,54, ,118.459,1.396,1000,1000
1, , ,13172.0771,0.0,54, ,118.459,1.542,1000,1000
1, , ,13172.0771,0.0,54, ,118.459,1.706,1000,1000
1, , ,13172.0771,0.0,54, ,118.459,1.882,1000,1000
1, , ,13172.0771,0.0,54, ,118.459,2.069,1000,1000
1, , ,13172.0771,0.0,54, ,118.459,2.264,1000,1000
1, , ,13172.0771,0.0,54, ,118.459,2.464,1000,1000
1, , ,14078.385700000004,0.0,54, ,118.459,2.316,1000,1000
1, , ,14078.385700000004,0.0,54, ,118.459,2.108,1000,1000
1, , ,14078.385700000004,0.0,54, ,118.459,1.904,1000,1000
1, , ,14078.385700000004,0.0,54, ,118.459,1.707,1000,1000
1, , ,14078.385700000004,0.0,54, ,118.459,1.518,1000,1000
