SEGMENT,LAT,LON,DEPTH,SLIP,STRIKE,DIP,RAKE,WIDTH,LENGTH
1, -41.6228, 174.2397, 24000.0000, 0.00409, 234.00, 74.90, 180.00, 1035.762, 1000.000
1, -41.6761, 174.2733, 0.0000, 0.16037, 234.00, 74.90, 96.09, 1035.762, 1000.000
1, -41.6741, 174.2715, 1000.0000, 0.24991, 234.00, 74.90, 131.38, 1035.762, 1000.000
1, -41.6721, 174.2697, 2000.0000, 0.37124, 234.00, 74.90, 144.02, 1035.762, 1000.000
1, -41.6701, 174.2679, 3000.0000, 0.48930, 234.00, 74.90, 149.55, 1035.762, 1000.000
1, -41.6681, 174.2661, 4000.0000, 0.59387, 234.00, 74.90, 152.54, 1035.762, 1000.000
1, -41.6660, 174.2642, 5000.0000, 0.67941, 234.00, 74.90, 154.50, 1035.762, 1000.000
1, -41.6640, 174.2624, 6000.0000, 0.74232, 234.00, 74.90, 156.05, 1035.762, 1000.000
1, -41.6620, 174.2606, 7000.0000, 0.78069, 234.00, 74.90, 157.45, 1035.762, 1000.000
1, -41.6600, 174.2588, 8000.0000, 0.79427, 234.00, 74.90, 158.81, 1035.762, 1000.000
1, -41.6580, 174.2570, 9000.0000, 0.78436, 234.00, 74.90, 160.20, 1035.762, 1000.000
1, -41.6560, 174.2552, 10000.0000, 0.75346, 234.00, 74.90, 161.63, 1035.762, 1000.000
1, -41.6540, 174.2534, 11000.0000, 0.70500, 234.00, 74.90, 163.08, 1035.762, 1000.000
1, -41.6520, 174.2515, 12000.0000, 0.64291, 234.00, 74.90, 164.57, 1035.762, 1000.000
1, -41.6499, 174.2497, 13000.0000, 0.57131, 234.00, 74.90, 166.07, 1035.762, 1000.000
1, -41.6479, 174.2479, 14000.0000, 0.49429, 234.00, 74.90, 167.57, 1035.762, 1000.000
1, -41.6459, 174.2461, 15000.0000, 0.41565, 234.00, 74.90, 169.07, 1035.762, 1000.000
1, -41.6439, 174.2443, 16000.0000, 0.33881, 234.00, 74.90, 170.55, 1035.762, 1000.000
1, -41.6419, 174.2425, 17000.0000, 0.26668, 234.00, 74.90, 172.02, 1035.762, 1000.000
1, -41.6399, 174.2407, 18000.0000, 0.20158, 234.00, 74.90, 173.48, 1035.762, 1000.000
1, -41.6379, 174.2388, 19000.0000, 0.14525, 234.00, 74.90, 174.91, 1035.762, 1000.000
1, -41.6359, 174.2370, 20000.0000, 0.09873, 234.00, 74.90, 176.33, 1035.762, 1000.000
1, -41.6339, 174.2352, 21000.0000, 0.06241, 234.00, 74.90, 177.71, 1035.762, 1000.000
1, -41.6318, 174.2334, 22000.0000, 0.03593, 234.00, 74.90, 178.97, 1035.762, 1000.000
1, -41.6298, 174.2316, 23000.0000, 0.01816, 234.00, 74.90, 179.89, 1035.762, 1000.000
1, -41.6278, 174.2298, 24000.0000, 0.00714, 234.00, 74.90, 180.00, 1035.762, 1000.000
1, -41.6811, 174.2634, 0.0000, 0.16515, 234.00, 74.90, 106.05, 1035.762, 1000.000
1, -41.6791, 174.2616, 1000.0000, 0.29847, 234.00, 74.90, 137.69, 1035.762, 1000.000
1, -41.6771, 174.2597, 2000.0000, 0.45205, 234.00, 74.90, 147.48, 1035.762, 1000.000
1, -41.6751, 174.2579, 3000.0000, 0.59651, 234.00, 74.90, 151.71, 1035.762, 1000.000
1, -41.6731, 174.2561, 4000.0000, 0.72277, 234.00, 74.90, 154.05, 1035.762, 1000.000
1, -41.6711, 174.2543, 5000.0000, 0.82499, 234.00, 74.90, 155.65, 1035.762, 1000.000
1, -41.6691, 174.2525, 6000.0000, 0.89918, 234.00, 74.90, 157.00, 1035.762, 1000.000
1, -41.6671, 174.2507, 7000.0000, 0.94335, 234.00, 74.90, 158.30, 1035.762, 1000.000
1, -41.6650, 174.2489, 8000.0000, 0.95753, 234.00, 74.90, 159.62, 1035.762, 1000.000
1, -41.6630, 174.2470, 9000.0000, 0.94360, 234.00, 74.90, 160.99, 1035.762, 1000.000
1, -41.6610, 174.2452, 10000.0000, 0.90488, 234.00, 74.90, 162.42, 1035.762, 1000.000
1, -41.6590, 174.2434, 11000.0000, 0.84565, 234.00, 74.90, 163.89, 1035.762, 1000.000
1, -41.6570, 174.2416, 12000.0000, 0.77070, 234.00, 74.90, 165.39, 1035.762, 1000.000
1, -41.6550, 174.2398, 13000.0000, 0.68498, 234.00, 74.90, 166.89, 1035.762, 1000.000
1, -41.6530, 174.2380, 14000.0000, 0.59328, 234.00, 74.90, 168.40, 1035.762, 1000.000
1, -41.6510, 174.2362, 15000.0000, 0.50003, 234.00, 74.90, 169.90, 1035.762, 1000.000
1, -41.6490, 174.2343, 16000.0000, 0.40914, 234.00, 74.90, 171.37, 1035.762, 1000.000
1, -41.6469, 174.2325, 17000.0000, 0.32393, 234.00, 74.90, 172.82, 1035.762, 1000.000
1, -41.6449, 174.2307, 18000.0000, 0.24700, 234.00, 74.90, 174.24, 1035.762, 1000.000
1, -41.6429, 174.2289, 19000.0000, 0.18026, 234.00, 74.90, 175.62, 1035.762, 1000.000
1, -41.6409, 174.2271, 20000.0000, 0.12484, 234.00, 74.90, 176.95, 1035.762, 1000.000
1, -41.6389, 174.2253, 21000.0000, 0.08109, 234.00, 74.90, 178.18, 1035.762, 1000.000
1, -41.6369, 174.2235, 22000.0000, 0.04854, 234.00, 74.90, 179.24, 1035.762, 1000.000
1, -41.6349, 174.2216, 23000.0000, 0.02584, 234.00, 74.90, 179.94, 1035.762, 1000.000
1, -41.6329, 174.2198, 24000.0000, 0.01074, 234.00, 74.90, 180.00, 1035.762, 1000.000
1, -41.6862, 174.2534, 0.0000, 0.18067, 234.00, 74.90, 119.78, 1035.762, 1000.000
1, -41.6842, 174.2516, 1000.0000, 0.35897, 234.00, 74.90, 143.50, 1035.762, 1000.000
1, -41.6822, 174.2498, 2000.0000, 0.54331, 234.00, 74.90, 150.51, 1035.762, 1000.000
1, -41.6802, 174.2480, 3000.0000, 0.71372, 234.00, 74.90, 153.61, 1035.762, 1000.000
